symbol
METTL3
METTL14
WTAP
RBM15
RBM15B
KIAA1429
CBLL1
ZC3H13
ALKBH5
FTO
YTHDC1
YTHDC2
YTHDF1
YTHDF2
YTHDF3
IGF2BP1
IGF2BP2
IGF2BP3
HNRNPA2B1
HNRNPC
FMR1
LRPPRC
ELAVL1
